"","MLS # Link","St","Area","Address","","Current Price","Total Units","SqFt LA","Style ","Year Built","#Parking Spaces","Subdivision Name","Pool YN","Waterfront Property (Y/N)","Sale Price"
"1","A11705531","C","3470","1001 SW 4th Ave","","$799,000","2","¤1,978","I02","1970","2","¤LAUDERDALE","No","No",""
"1","F10492130","C","3370","1925 NE 26th Street","","$795,000","2","1,767","","1954","","Coral Gardens 30-7 B","No","No",""
"1","F10482737","C","3470","639 SW 5th Avenue","","$795,000","2","1,504","I02","1977","5","TARPON RIVER","No","No",""
"1","A11949303","C","3400","1451 NW 19th St","","$794,890","","¤2,025","I03","1974","5","¤FT LAUDERDALE ESTATES","No","No",""
"1","A11776207","C","3470","1001 SW 4th Ave","","$786,000","","¤1,978","I02","1958","3","¤LAUDERDALE","No","No",""
"1","R11094034","C","3370","1000 NE 17th Court","","$780,000","3","1,707","I03","1957","","MIDLE RIVER  - LAUDERDALE","No","No",""
"1","A11985359","C","3360","3042 NE 13th Ave","","$775,000","","¤1,678","I02","1965","0","¤OCEAN BOULEVARD PARK","No","No",""
"1","F10503301","C","3500","307-309 SW 8th St","","$774,990","2","1,885","I02","1971","4","Ft Lauderdale Land & Dev","No","No",""
"1","B26049355","C","3370","1925 NE 26th Street Unit#1-2","","$765,000","2","1,767","","1954","","CORAL GARDENS","No","No",""
"1","A11733031","C","3240","1020 NE 16th Ter","","$760,000","3","¤1,104","I02","1952","8","¤PROGRESSO","No","No",""
"1","R11089666","C","3460","626 NW 10th Terrace Unit#1-5","","$760,000","","3,488","I04","1940","","PROGRESSO","No","No",""
"1","A11942800","C","3390","2441 NW 9th Ter","","$755,000","2","¤1,681","I02","1966","5","¤BONIELLO VILLAS SEC TWO","No","Yes",""
"1","F10463124","C","3470","1951 Riverside Dr","","$750,000","","1,872","I04","1958","8","Riverside Park 7-24 B","No","No",""
"1","A11786357","C","3390","1035 NW 8th Ave","","$749,900","","¤2,554","I02","1971","10","¤PROGRESSO","No","No",""
"1","A11996692","C","3470","123 SW 19th Ave","","$749,000","","¤1,767","I02","1963","2","¤CYPRESS GARDENS","Yes","No",""
"1","A11905841","C","3390","1300 NE 2nd Ave","","$745,000","","¤1,382","I02","1960","7","¤PROGRESSO","No","No",""
"1","F10470541","C","3480","513 SW 15th St","","$737,000","","1,620","I02","1959","4","Lauderdale 2-9 D","No","No",""
"1","A11906055","C","3380","1219-1221 NE 18th Ave","","$735,000","3","1,896","I03","1956","6","¤LAKE RIDGE","No","No",""
"1","A11731124","C","3360","1401 NE 33rd St.","","$730,000","","","I02","1942","2","OAKLAND PARK","Yes","No",""
"1","F10447965","C","3470","813 Himmarshee St","","$729,000","2","1,343","I02","1957","4","Hazel Estates 42-4 B","No","No",""
"1","A11845209","C","3370","1433 NE 22nd St","","$725,000","","¤1,828","I02","1959","3","¤EDGEWATER ESTATES 1ST ADD","No","No",""
"1","F10499054","C","3480","509 SW 14th Ct","","$725,000","","1,458","I02","1965","4","ISLAND VIEW","No","No",""
"1","R11065896","C","3750","251/259 NE 40th Court","","$720,000","","1,646","I02","1969","","BONIELLO GARDENS 1 ADD","No","No",""
"1","A11902048","C","3370","3033 NE 20th Ter","","$719,000","2","¤1,815","I02","1957","6","¤OCEAN RIDGE","No","No",""
"1","A11810243","C","3500","218 SW 10th St","","$715,000","2","¤1,353","I02","1942","0","¤CROISSANT PARK RIVER SEC","No","No",""
"1","A11601730","C","3570","1949 Riverside Dr","","$699,999","2","¤1,539","I02","1966","4","¤RIVERSIDE PARK","No","No",""
"1","F10473260","C","3380","917 NE 11th St","","$699,900","","1,693","I02","1952","3","Progresso 2-18 D","No","No",""
"1","F10442162","C","3390","1345 NW 1st Ave","","$699,900","","1,235","I02","1953","6","PROGRESSO","No","No",""
"1","A11672874","C","3810","647 NW 3rd Ave","","$699,900","","¤2,299","I04","1970","4","¤PROGRESSO","No","No",""
"1","A11940040","C","3450","1628 NW 5th Ave","","$699,000","","1,552","I02","1952","3","¤PROGRESSO","No","No",""
"1","A11631699","C","3480","1804 SW 20th St","","$699,000","","¤1,595","I02","1969","4","¤OSCEOLA PARK","No","No",""
"1","F10443503","C","3380","1116-1118 NE 15th Ave","","$694,900","","1,120","I02","1952","4","PROGRESSO","No","No",""
"1","A11735366","C","3390","1038 NW 3rd Ave","","$694,900","4","¤2,586","I04","1970","5","¤PROGRESSO","No","No",""
"1","A11735288","C","3390","1032 NW 3rd Ave","","$694,900","","¤2,586","I04","1970","5","¤PROGRESSO","No","No",""
"1","F10497324","C","3380","1336 NE 14th Ave","","$689,900","2","1,835","I02","1947","5","Poinsettia Heights","Yes","No",""
"1","F10461351","C","3390","1201 N Andrews Ave","","$675,000","2","2,653","I02","1935","2","Progresso","No","No",""
"1","A11656014","C","3390","1242 NW 2nd Ave","","$675,000","2","¤1,570","I02","1958","4","¤PROGRESSO","No","No",""
"1","A11734430","C","3390","1028 NW 3rd Ave","","$664,900","","¤2,586","I04","1970","5","¤PROGRESSO","No","No",""
"1","A11733906","C","3390","1026 NW 3rd Ave","","$664,900","","¤2,586","I04","1970","4","¤PROGRESSO","No","No",""
"1","A11730092","C","3390","1021 NW 3rd Ave","","$664,900","4","¤2,586","I04","1971","4","¤PROGRESSO","No","No",""
"1","F10447218","C","3460","736 NW 3rd Ave","","$664,000","","1,150","I02","1949","8","Progresso 2-18 D","No","No",""
"1","A11866582","C","3370","1701 NE 25th st","","$659,999","2","","I02","1960","2","MANOR SQUARE","No","No",""
"1","F10480000","C","3390","1345 N Andrews Ave #1-2","","$650,000","2","2,010","I02","1968","4","Progresso 2-18 D","No","No",""
"1","F10480765","C","3390","1142 NW 6th Ave","","$650,000","","2,213","I03","1973","5","PROGRESSO","No","No",""
"1","F10461445","C","3390","1142 NW 6th Ave","","$650,000","","2,213","I02","1973","5","PROGRESSO","No","No",""
"1","F10450968","C","3390","1026 NW 8th Ave","","$650,000","","1,350","I02","1986","4","Progresso 2-18 D","No","No",""
"1","F10465423","C","3480","514 SW 16th St","","$650,000","2","1,400","I02","1948","4","CROISSANT PARK","No","No",""
"1","A11703463","C","3570","1620 SW 11th Ct","","$650,000","","¤1,399","I02","1961","4","¤RIVERSIDE PARK ADD AMEN P","No","No",""
"1","A11642846","C","3380","1116-1118 NE 15th Ave","","$649,000","2","¤1,120","I02","1952","4","¤PROGRESSO","No","No",""
"1","F10483216","C","3720","575 NW 41st Street","","$649,000","","2,766","I02","1976","5","prospect gardens","No","No",""
"1","A11830697","C","3860","635 NW 22nd Rd","","$649,000","4","¤1,810","I04","1967","4","¤WASHINGTON PARK","No","No",""
"1","A11698398","C","3400","1451 NW 20th Ct","","$648,850","","¤2,059","I02","1974","6","¤FT LAUDERDALE ESTATES","No","No",""
"1","A11705129","C","3560","635 NW 22nd Rd","","$644,000","","¤1,810","I04","1967","4","¤WASHINGTON PARK","No","No",""
"1","A11738166","C","3400","1471 NW 19th St","","$640,000","","¤2,025","I03","1974","6","¤FT LAUDERDALE ESTATES","No","No",""
"1","F10482837","C","3450","660 NE 35th St","","$640,000","","1,398","I03","1958","3","Oakland Park Second Add 1","No","No",""
"1","A11945231","C","3860","635 NW 22nd Rd","","$640,000","","¤1,810","I04","1968","4","¤WASHINGTON PARK","No","No",""
"1","F10449146","C","3480","1413 SW 4th avenue","","$625,000","2","2,584","I02","1950","5","Croissant Park","No","No",""
"1","A11426003","C","3720","319 NW 43rd St","","$625,000","","¤1,742","I02","1963","2","¤PROSPECT GARDENS","No","No",""
"1","A11426002","C","3720","321 NW 43rd St","","$625,000","","¤1,676","I02","1966","2","¤PROSPECT GARDENS","No","No",""
"1","A11889972","C","3390","919 NW 13th St","","$619,999","3","¤1,478","I03","1955","8","¤LAUDERDALE MANORS ADD","No","No",""
"1","F10529019","C","3390","1142 NW 6th Ave","","$600,000","","2,213","I02","1973","5","Progresso 2-18 D","No","No",""
"1","F10496662","C","3390","1142 NW 6th Ave","","$600,000","","2,213","I03","1973","5","PROGRESSO","No","No",""
"1","A11776119","C","3450","405 E Oakland Park Blvd","","$600,000","","1,456","I02","1948","4","¤OAKLAND PARK SECOND ADD","No","No",""
"1","A11817004","C","3380","1044 NE 10th Ave","","$599,000","","¤1,413","I03","1954","1","¤PROGRESSO","No","No",""
"1","F10463121","C","3470","1955 Riverside Dr","","$599,000","","2,006","I02","1958","4","Riverside Park 7-24 B","No","No",""
"1","A11521374","C","3360","3477 NE 13 ave","","$588,000","","","I02","1962","8","Oakland Park","No","No",""
"1","A11716066","C","3390","1020 NW 5th Ave","","$579,999","2","¤2,131","I02","1980","5","¤PROGRESSO","No","No",""
"1","F10478426","C","3390","1238 NW 5th Ave","","$575,000","2","1,870","I02","1966","4","Progresso 2-18 D","No","No",""
"1","F10444425","C","3390","1029 NW 3rd Ave","","$575,000","3","2,512","I03","1953","4","Progresso 2-18 D","No","No",""
"1","A11590429","C","3470","804 SW 4th Street","","$575,000","2","1,400","I02","1944","5","Sailboat Bend","No","No",""
"1","F10472501","C","3390","1515 NW 8th Ave","","$569,900","2","2,504","I02","1971","4","Progresso 2-18 D","No","No",""
"1","A11634734","C","3450","901 NE 40th St","","$569,900","","¤1,548","I03","1959","5","Oakland Park/Downtown","No","No",""
"1","F10509111","C","3460","1810 NW 9th St","","$565,000","","1,464","I02","1964","4","Lauderdale Homesites Firs","No","No",""
